dma_code,dma_name,case,status,case_reason,mnf_start,mnf_end,current_mnf,baseline_mean,baseline_sd,threshold,watch_threshold,mk_z,mk_trend,mk_significant,cusum_h,cusum_breached,cusum_recent_breach,cusum_step_rapid,cusum_rise_days,mnf_recovered,mnf_excess_ratio,excess_too_small,sustained_flow_breach,sustained_run_intervals,pressure_drop_confirmed,hard_threshold_breached,excess_per_hour,est_loss_per_day,base_win_len,last_data_date,last_day_coverage,last_day_full,r_eff_median,loss_factor_median,proximity_estimate,favad_volume_total,user_type,pipe_material,rtu_zigzag_ratio,rtu_zigzag_flag,generated_at
DM-01-01-01-01,DM-01-01-01-01,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 3.6 m³/hr (8.0% ของค่าเฉลี่ยฐาน 45.3 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,01:15,03:15,48.875,45.259,1.154,47.567,46.413,2.425,เพิ่มขึ้นชัดเจน,True,4.615,True,True,False,10.0,False,0.0799,True,True,26,False,False,5.408,129.79,14,2026-09-06,96,True,0.0,1e-05,,129.79,RESIDENTIAL,PVC,0.6702,False,2026-09-08 07:56:48
DM-01-01-02-01,DM-01-01-02-01,C,ok,MNF ล่าสุด (26.2 m³/hr) / ส่วนเกินเฉลี่ย 3 วัน (-33.9 m³/hr) กลับมาที่ระดับค่าเฉลี่ยฐาน (54.9 m³/hr) แล้ว — ไม่มีน้ำสูญเสียส่วนเกินเหลืออยู่ ถือว่าเหตุการณ์จบ/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,03:15,05:15,26.25,54.902,2.201,59.304,57.103,-1.073,ลดลงเล็กน้อย,False,8.804,True,True,True,5.0,True,-0.5219,True,False,1,False,False,0.0,0.0,14,2026-09-06,96,True,5e-05,43.32143,,0.0,RESIDENTIAL,PVC,0.5745,False,2026-09-08 07:56:48
DM-01-01-03-01,DM-01-01-03-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),01:30,03:30,22.625,30.625,12.2,55.025,42.825,-0.537,ลดลงเล็กน้อย,False,48.8,False,False,False,,True,-0.2612,True,False,1,False,False,0.0,0.0,14,2026-09-06,96,True,0.0,0.00574,,0.0,RESIDENTIAL,PVC,0.5376,False,2026-09-08 07:56:48
DM-01-01-06-01,DM-01-01-06-01,C,ok,MNF ล่าสุด (80.1 m³/hr) / ส่วนเกินเฉลี่ย 3 วัน (-4.2 m³/hr) กลับมาที่ระดับค่าเฉลี่ยฐาน (85.0 m³/hr) แล้ว — ไม่มีน้ำสูญเสียส่วนเกินเหลืออยู่ ถือว่าเหตุการณ์จบ/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,00:30,02:30,80.125,84.991,26.977,138.946,111.968,2.425,เพิ่มขึ้นชัดเจน,True,107.91,False,False,False,,True,-0.0573,True,False,1,False,False,0.0,0.0,14,2026-09-06,96,True,0.0,0.00025,,0.0,RESIDENTIAL,PVC,0.5745,False,2026-09-08 07:56:48
DM-01-02-02-02,DM-01-02-02-02,B,watch,Flow สูงกว่าเกณฑ์ต่อเนื่อง 41 intervals พร้อมแรงดันตก แต่ไม่ใช่การเปลี่ยนแปลงฉับพลันใน 1-2 วัน (น่าจะเป็นรั่วที่ดำเนินมาระยะหนึ่งแล้วและขยายจนคงที่) — ควรตรวจสอบโดยเร็วแต่ไม่ใช่เหตุฉุกเฉินแบบท่อแตกใหม่,02:30,04:30,29.0,3.58,2.406,8.392,5.986,0.716,เพิ่มขึ้นเล็กน้อย,False,9.623,True,False,True,2.0,False,7.0998,False,True,41,True,False,21.003,504.07,14,2026-09-06,96,True,5e-05,0.00021,ใกล้กับ RTU (< 2 กม. โดยประมาณ),504.07,RESIDENTIAL,PVC,0.4778,False,2026-09-08 07:56:48
DM-01-02-03-02,DM-01-02-03-02,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 1.6 m³/hr (3.1% ของค่าเฉลี่ยฐาน 51.5 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,02:15,04:15,53.125,51.527,2.056,55.639,53.583,0.179,เพิ่มขึ้นเล็กน้อย,False,8.225,True,False,True,1.0,False,0.031,True,False,3,True,False,0.182,4.36,14,2026-09-06,96,True,0.0,0.00017,,4.36,RESIDENTIAL,PVC,0.5484,False,2026-09-08 07:56:48
DM-01-02-04-02,DM-01-02-04-02,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:15,04:15,40.375,47.009,2.591,52.19,49.599,0.0,ทรงตัว,False,10.362,False,False,False,,True,-0.1411,True,False,0,False,False,0.0,0.0,14,2026-09-06,96,True,0.0,0.1,,0.0,RESIDENTIAL,PVC,0.6559,False,2026-09-08 07:56:48
DM-01-02-05-01,DM-01-02-05-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),01:45,03:45,53.125,53.857,1.453,56.763,55.31,1.443,เพิ่มขึ้นเล็กน้อย,False,5.812,False,False,False,,True,-0.0136,True,False,4,False,False,0.0,0.0,14,2026-09-06,96,True,0.0,0.08403,,0.0,RESIDENTIAL,PVC,0.5699,False,2026-09-08 07:56:48
DM-01-03-02-01,DM-01-03-02-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:15,04:15,107.75,108.777,7.741,124.258,116.517,1.073,เพิ่มขึ้นเล็กน้อย,False,30.963,False,False,False,,True,-0.0094,True,False,2,False,False,4.64,111.36,14,2026-09-06,96,True,0.0,0.00201,,111.36,RESIDENTIAL,PVC,0.4946,False,2026-09-08 07:56:48
DM-01-03-04-01,DM-01-03-04-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:00,04:00,297.0,282.5,11.508,305.516,294.008,0.0,ทรงตัว,False,46.032,False,False,False,,False,0.0513,True,False,3,False,False,5.542,133.0,14,2026-09-06,96,True,0.0,0.0,,133.0,RESIDENTIAL,PVC,0.4574,False,2026-09-08 07:56:48
