dma_code,baseline_month,current_avg_mnf,baseline_avg_mnf,mnf_delta_pct,mnf_delta_abs,mnf_color,current_avg_daily_total,baseline_avg_daily_total,inflow_delta_pct,inflow_delta_abs,inflow_color,n_valid_days_current,n_valid_days_baseline,current_window_start,current_window_end,generated_at
DM-01-01-01-01,2025-09,48.549,49.104,-1.13,-0.55,green,1944.46,1867.22,4.14,77.24,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-01-02-01,2025-09,65.074,38.14,70.62,26.93,red,2953.88,1488.31,98.47,1465.57,red,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-01-02-02,2025-09,25.281,26.15,-3.32,-0.87,green,918.72,991.06,-7.3,-72.34,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-01-03-01,2025-09,29.468,36.404,-19.05,-6.94,green,1098.74,1225.37,-10.33,-126.63,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-01-03-02,2025-09,0.0,102.38,-100.0,-102.38,green,0.0,3511.05,-100.0,-3511.05,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-01-03-03,2025-09,0.0,0.0,,,gray,0.0,0.0,,,gray,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-01-04-01,2025-09,0.0,76.982,-100.0,-76.98,green,0.0,2845.36,-100.0,-2845.36,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-01-05-01,2025-09,94.69,120.918,-21.69,-26.23,green,3739.23,4262.39,-12.27,-523.16,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-01-05-02,2025-09,23.713,28.781,-17.61,-5.07,green,1147.88,1441.78,-20.38,-293.9,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-01-06-01,2025-09,82.861,117.022,-29.19,-34.16,green,3061.22,3931.01,-22.13,-869.79,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-01-06-02,2025-09,5.147,105.081,-95.1,-99.93,green,494.39,3748.95,-86.81,-3254.56,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
