dma_code,baseline_month,current_avg_mnf,baseline_avg_mnf,mnf_delta_pct,mnf_delta_abs,mnf_color,current_avg_daily_total,baseline_avg_daily_total,inflow_delta_pct,inflow_delta_abs,inflow_color,n_valid_days_current,n_valid_days_baseline,current_window_start,current_window_end,generated_at
DM-01-01-01-01,custom_60d,52.937,48.968,8.11,3.97,yellow,2161.61,1943.65,11.21,217.96,yellow,7.0,60,2026-09-02,2026-09-08,2026-09-10 14:28:41
DM-01-01-02-01,custom_60d,42.279,60.574,-30.2,-18.29,green,2551.46,2884.78,-11.55,-333.32,green,7.0,60,2026-09-02,2026-09-08,2026-09-10 14:28:41
DM-01-01-02-02,custom_60d,25.509,23.619,8.0,1.89,yellow,924.8,855.16,8.14,69.64,yellow,7.0,60,2026-09-02,2026-09-08,2026-09-10 14:28:41
DM-01-01-03-01,custom_60d,27.506,29.956,-8.18,-2.45,green,1139.46,1034.58,10.14,104.88,yellow,7.0,60,2026-09-02,2026-09-08,2026-09-10 14:28:41
DM-01-01-03-02,custom_60d,0.0,0.0,,,gray,0.0,0.0,,,gray,7.0,60,2026-09-02,2026-09-08,2026-09-10 14:28:41
DM-01-01-03-03,custom_60d,0.0,0.0,,,gray,0.0,0.0,,,gray,7.0,60,2026-09-02,2026-09-08,2026-09-10 14:28:41
DM-01-01-04-01,custom_60d,0.0,0.0,,,gray,0.0,0.0,,,gray,7.0,60,2026-09-02,2026-09-08,2026-09-10 14:28:41
DM-01-01-05-01,custom_60d,93.097,96.221,-3.25,-3.12,green,3812.37,3794.12,0.48,18.25,green,7.0,60,2026-09-02,2026-09-08,2026-09-10 14:28:41
DM-01-01-05-02,custom_60d,52.282,21.864,139.12,30.42,red,1243.96,514.6,141.73,729.36,red,7.0,60,2026-09-02,2026-09-08,2026-09-10 14:28:41
DM-01-01-06-01,custom_60d,81.732,89.799,-8.98,-8.07,green,3062.32,3278.83,-6.6,-216.51,green,7.0,60,2026-09-02,2026-09-08,2026-09-10 14:28:41
DM-01-01-06-02,custom_60d,4.907,5.755,-14.74,-0.85,green,467.22,504.04,-7.3,-36.82,green,7.0,60,2026-09-02,2026-09-08,2026-09-10 14:28:41
DM-01-02-01-01,custom_60d,48.245,33.911,42.27,14.33,red,2053.46,1420.39,44.57,633.07,red,7.0,60,2026-09-02,2026-09-08,2026-09-10 14:28:41
DM-01-02-01-02,custom_60d,117.587,15.199,673.65,102.39,red,3896.11,532.68,631.42,3363.43,red,7.0,60,2026-09-02,2026-09-08,2026-09-10 14:28:41
