dma_code,interval_idx,flow_baseline_min,flow_baseline_max,flow_current,pressure_baseline_min,pressure_baseline_max,pressure_current
DM-01-01-01-01,0,30.27,57.71,56.286,0.0,2.51,2.499
DM-01-01-01-01,1,17.45,54.46,55.307,0.0,2.51,2.454
DM-01-01-01-01,2,7.07,54.32,54.8,0.0,2.52,2.431
DM-01-01-01-01,3,9.7,53.75,54.724,0.0,2.53,2.439
DM-01-01-01-01,4,15.25,53.81,54.134,0.0,2.54,2.463
DM-01-01-01-01,5,17.44,54.07,52.966,0.0,2.55,2.471
DM-01-01-01-01,6,19.48,53.28,53.006,0.11,2.57,2.507
DM-01-01-01-01,7,22.54,52.32,52.051,0.0,2.62,2.526
DM-01-01-01-01,8,25.38,53.34,52.93,0.08,2.66,2.534
DM-01-01-01-01,9,30.16,52.32,52.643,0.44,2.72,2.55
DM-01-01-01-01,10,27.89,53.29,52.901,0.43,2.77,2.566
DM-01-01-01-01,11,28.71,52.77,53.006,0.44,2.81,2.577
DM-01-01-01-01,12,30.44,53.95,53.993,0.52,2.87,2.579
DM-01-01-01-01,13,30.93,55.27,54.526,0.58,2.94,2.581
DM-01-01-01-01,14,31.1,60.11,54.507,0.57,2.99,2.593
DM-01-01-01-01,15,31.49,58.56,54.971,0.56,3.01,2.606
DM-01-01-01-01,16,29.09,60.95,56.776,0.35,3.07,2.719
DM-01-01-01-01,17,31.94,61.48,60.684,0.43,3.12,2.934
DM-01-01-01-01,18,37.39,66.47,65.096,0.7,3.34,3.276
DM-01-01-01-01,19,42.9,68.81,69.303,0.98,3.5,3.744
DM-01-01-01-01,20,50.68,78.49,75.93,1.28,4.04,4.244
DM-01-01-01-01,21,53.15,80.98,81.803,1.39,4.31,4.717
DM-01-01-01-01,22,51.81,84.09,85.771,1.3,4.53,5.126
DM-01-01-01-01,23,75.16,114.65,91.604,2.74,5.59,5.349
DM-01-01-01-01,24,87.29,133.65,95.393,4.8,5.89,5.301
DM-01-01-01-01,25,88.81,110.18,101.306,4.82,5.92,5.163
DM-01-01-01-01,26,92.59,109.26,102.734,4.95,6.04,5.107
DM-01-01-01-01,27,95.3,109.14,105.961,4.97,6.03,5.403
DM-01-01-01-01,28,93.59,107.8,117.481,4.93,6.0,6.726
