dma_code,interval_idx,flow_baseline_min,flow_baseline_max,flow_current,pressure_baseline_min,pressure_baseline_max,pressure_current
DM-01-01-01-01,0,44.89,64.25,56.286,1.59,3.43,2.499
DM-01-01-01-01,1,44.76,65.48,55.307,1.52,3.29,2.454
DM-01-01-01-01,2,43.99,66.94,54.8,1.49,3.23,2.431
DM-01-01-01-01,3,43.16,66.92,54.724,1.45,3.22,2.439
DM-01-01-01-01,4,42.51,64.84,54.134,1.43,3.24,2.463
DM-01-01-01-01,5,40.91,63.07,52.966,1.35,3.24,2.471
DM-01-01-01-01,6,43.48,62.05,53.006,1.68,3.28,2.507
DM-01-01-01-01,7,42.43,62.43,52.051,1.72,3.29,2.526
DM-01-01-01-01,8,42.16,72.52,52.93,1.75,3.31,2.534
DM-01-01-01-01,9,42.73,76.35,52.643,1.75,3.35,2.55
DM-01-01-01-01,10,43.61,84.29,52.901,1.8,3.77,2.566
DM-01-01-01-01,11,42.38,93.39,53.006,1.79,4.04,2.577
DM-01-01-01-01,12,42.74,95.0,53.993,1.96,4.28,2.579
DM-01-01-01-01,13,43.68,99.08,54.526,1.96,4.39,2.581
DM-01-01-01-01,14,44.93,98.11,54.507,1.95,4.47,2.593
DM-01-01-01-01,15,43.78,105.89,54.971,1.96,5.0,2.606
DM-01-01-01-01,16,45.61,108.99,56.776,1.99,6.26,2.719
DM-01-01-01-01,17,44.57,112.42,60.684,2.0,6.41,2.934
DM-01-01-01-01,18,48.73,113.83,65.096,2.08,6.48,3.276
DM-01-01-01-01,19,51.26,112.32,69.303,2.19,6.49,3.744
DM-01-01-01-01,20,57.73,108.01,75.93,2.36,6.38,4.244
DM-01-01-01-01,21,61.37,112.09,81.803,2.96,6.26,4.717
DM-01-01-01-01,22,64.0,111.09,85.771,3.34,6.23,5.126
DM-01-01-01-01,23,70.75,148.32,91.604,3.64,6.31,5.349
DM-01-01-01-01,24,72.48,121.34,95.393,3.7,6.41,5.301
DM-01-01-01-01,25,79.85,115.56,101.306,3.27,6.21,5.163
DM-01-01-01-01,26,79.41,124.61,102.734,3.29,6.26,5.107
DM-01-01-01-01,27,84.85,114.29,105.961,3.4,6.64,5.403
DM-01-01-01-01,28,88.86,136.07,117.481,3.67,8.13,6.726
DM-01-01-01-01,29,92.27,137.25,118.23,4.42,8.46,6.954
DM-01-01-01-01,30,91.2,134.44,118.231,4.75,8.5,6.979
DM-01-01-01-01,31,91.9,132.02,117.73,4.68,8.42,7.003
DM-01-01-01-01,32,90.14,131.86,117.264,4.8,8.5,7.027
DM-01-01-01-01,33,92.27,133.7,119.164,4.94,8.45,7.034
DM-01-01-01-01,34,91.12,132.87,115.606,4.85,8.56,7.06
DM-01-01-01-01,35,90.63,135.7,116.916,4.84,8.62,7.079
DM-01-01-01-01,36,88.35,133.56,116.047,4.78,8.54,7.083
DM-01-01-01-01,37,88.86,129.96,113.857,4.7,8.49,6.996
DM-01-01-01-01,38,91.12,132.78,113.77,4.69,8.35,6.944
DM-01-01-01-01,39,89.78,133.1,112.816,4.58,8.32,6.863
DM-01-01-01-01,40,88.35,131.49,111.34,4.47,8.16,6.657
DM-01-01-01-01,41,84.41,130.73,108.994,4.46,7.77,6.383
DM-01-01-01-01,42,83.23,128.15,106.901,4.07,7.34,5.986
DM-01-01-01-01,43,80.31,122.37,104.496,3.99,6.86,5.867
DM-01-01-01-01,44,82.99,126.17,108.261,3.87,7.85,6.33
DM-01-01-01-01,45,81.82,123.86,105.409,3.83,7.77,6.161
DM-01-01-01-01,46,79.46,125.73,102.883,3.82,7.57,5.977
DM-01-01-01-01,47,80.64,121.24,102.844,3.78,7.49,5.757
DM-01-01-01-01,48,79.6,120.79,102.21,3.86,7.41,5.596
DM-01-01-01-01,49,78.43,121.87,101.899,3.86,7.39,5.489
DM-01-01-01-01,50,77.58,119.94,102.6,3.86,7.35,5.407
DM-01-01-01-01,51,76.38,121.23,101.6,3.76,7.34,5.384
DM-01-01-01-01,52,75.2,123.82,99.544,3.39,7.23,5.383
DM-01-01-01-01,53,68.3,116.76,97.501,3.34,7.22,5.403
DM-01-01-01-01,54,67.75,118.21,95.809,2.97,7.19,5.38
DM-01-01-01-01,55,68.25,115.84,94.433,2.99,7.23,5.354
DM-01-01-01-01,56,67.53,114.19,93.459,2.93,7.16,5.297
DM-01-01-01-01,57,63.72,113.86,91.276,2.82,7.2,5.121
DM-01-01-01-01,58,67.58,112.5,86.987,2.75,7.2,4.63
DM-01-01-01-01,59,60.69,102.31,84.48,2.67,5.9,4.253
DM-01-01-01-01,60,61.17,101.86,82.474,2.56,5.78,4.07
DM-01-01-01-01,61,62.25,103.91,81.591,2.53,5.81,4.09
DM-01-01-01-01,62,62.61,104.99,81.78,2.5,5.73,4.05
DM-01-01-01-01,63,64.97,107.56,82.766,2.56,5.7,4.05
DM-01-01-01-01,64,66.95,102.78,86.454,2.67,5.96,4.207
DM-01-01-01-01,65,68.77,102.6,87.806,2.75,6.18,4.344
DM-01-01-01-01,66,68.65,106.05,88.796,2.9,6.4,4.536
DM-01-01-01-01,67,72.83,106.29,90.399,3.18,6.55,4.796
DM-01-01-01-01,68,75.54,111.82,97.674,3.49,6.72,5.086
DM-01-01-01-01,69,79.71,116.26,101.139,3.76,7.13,5.517
DM-01-01-01-01,70,82.5,124.78,104.21,4.08,7.39,5.904
DM-01-01-01-01,71,84.87,124.34,105.336,4.26,7.75,6.249
DM-01-01-01-01,72,85.03,122.76,105.824,4.28,8.0,6.366
DM-01-01-01-01,73,86.76,123.85,106.443,4.51,8.23,6.477
DM-01-01-01-01,74,86.39,125.14,106.579,4.55,8.2,6.54
DM-01-01-01-01,75,83.87,123.4,105.481,4.51,8.28,6.547
DM-01-01-01-01,76,81.09,122.43,104.364,4.01,8.31,6.563
DM-01-01-01-01,77,77.06,124.83,105.15,3.79,8.24,6.543
DM-01-01-01-01,78,76.91,126.09,106.566,3.74,8.29,6.551
DM-01-01-01-01,79,76.1,127.59,107.266,3.72,8.19,6.529
DM-01-01-01-01,80,70.91,124.41,106.99,3.47,8.07,6.477
DM-01-01-01-01,81,66.6,124.18,105.081,3.08,8.05,6.539
DM-01-01-01-01,82,57.65,125.16,103.65,2.24,8.07,6.617
DM-01-01-01-01,83,56.12,123.26,103.227,2.05,8.15,6.71
DM-01-01-01-01,84,55.93,122.76,102.13,1.92,8.25,6.717
DM-01-01-01-01,85,54.53,122.66,100.914,1.9,8.28,6.677
DM-01-01-01-01,86,53.53,119.95,100.323,1.9,8.31,6.629
DM-01-01-01-01,87,53.47,120.12,98.941,1.9,8.14,6.49
DM-01-01-01-01,88,55.09,117.59,93.59,1.95,8.21,6.127
DM-01-01-01-01,89,45.25,113.58,86.151,0.18,8.08,5.481
DM-01-01-01-01,90,50.78,109.96,93.579,1.77,7.69,5.614
DM-01-01-01-01,91,51.19,101.1,84.644,2.02,7.41,5.504
DM-01-01-01-01,92,51.76,98.98,77.619,2.0,7.28,5.129
DM-01-01-01-01,93,39.1,95.0,73.089,0.91,6.99,4.663
DM-01-01-01-01,94,49.13,83.76,64.703,2.0,5.69,3.473
DM-01-01-01-01,95,48.86,68.74,58.566,1.79,4.15,2.789
DM-01-01-02-01,0,41.45,157.77,57.213,1.44,7.95,3.216
DM-01-01-02-01,1,36.33,166.37,56.611,1.42,8.83,3.161
DM-01-01-02-01,2,37.11,167.45,55.899,1.43,8.98,3.13
DM-01-01-02-01,3,34.81,170.45,53.669,1.43,9.04,3.157
DM-01-01-02-01,4,31.35,173.32,52.807,1.49,8.97,3.193
DM-01-01-02-01,5,30.35,172.05,53.331,1.49,8.9,3.203
DM-01-01-02-01,6,31.14,174.06,49.981,1.53,8.85,3.247
DM-01-01-02-01,7,28.68,174.54,48.546,1.57,8.83,3.284
DM-01-01-02-01,8,25.1,175.64,47.704,1.6,8.75,3.294
DM-01-01-02-01,9,24.33,173.71,46.906,1.6,8.71,3.311
DM-01-01-02-01,10,26.88,171.91,46.45,1.7,8.84,3.326
DM-01-01-02-01,11,25.1,167.99,45.463,1.72,8.9,3.341
DM-01-01-02-01,12,25.64,169.52,45.663,2.03,8.72,3.336
DM-01-01-02-01,13,1.11,166.98,45.41,2.48,8.54,3.336
DM-01-01-02-01,14,0.93,169.04,45.727,2.53,8.39,3.349
DM-01-01-02-01,15,1.85,171.7,46.0,2.53,8.18,3.393
DM-01-01-02-01,16,4.95,195.99,43.679,2.69,9.42,3.599
DM-01-01-02-01,17,10.34,199.53,38.141,3.0,9.29,3.979
DM-01-01-02-01,18,3.91,189.77,35.197,3.2,8.95,4.33
DM-01-01-02-01,19,8.1,186.3,37.941,3.14,8.57,4.779
DM-01-01-02-01,20,13.61,181.34,46.133,3.52,8.21,5.246
DM-01-01-02-01,21,22.51,180.72,58.509,4.01,8.05,5.677
DM-01-01-02-01,22,4.38,178.07,71.28,4.5,8.01,6.067
DM-01-01-02-01,23,18.32,168.07,83.76,5.06,7.79,6.326
DM-01-01-02-01,24,43.43,176.92,89.476,5.02,7.91,6.357
DM-01-01-02-01,25,47.83,169.85,92.72,4.73,7.89,6.281
DM-01-01-02-01,26,30.0,174.29,96.427,4.44,8.04,6.267
DM-01-01-02-01,27,24.13,171.6,108.744,4.31,9.36,6.766
DM-01-01-02-01,28,69.41,178.66,140.253,6.07,9.45,8.301
DM-01-01-02-01,29,77.25,178.36,143.06,6.29,9.51,8.489
DM-01-01-02-01,30,82.3,180.09,143.534,6.35,9.53,8.486
DM-01-01-02-01,31,80.74,176.56,144.071,6.38,9.43,8.46
DM-01-01-02-01,32,80.21,184.67,143.191,6.5,9.37,8.459
DM-01-01-02-01,33,76.11,184.5,143.161,6.6,9.34,8.481
DM-01-01-02-01,34,69.19,181.4,142.913,6.72,9.32,8.487
DM-01-01-02-01,35,70.26,178.04,141.44,6.77,9.34,8.5
DM-01-01-02-01,36,71.2,186.72,139.183,6.24,9.33,8.489
DM-01-01-02-01,37,68.68,182.55,138.4,6.25,10.18,8.401
DM-01-01-02-01,38,66.81,180.57,137.78,6.43,10.27,8.341
DM-01-01-02-01,39,66.33,173.61,134.196,6.51,10.08,8.264
DM-01-01-02-01,40,73.62,172.67,131.206,6.53,9.65,8.031
DM-01-01-02-01,41,70.85,174.22,130.379,6.24,9.19,7.64
DM-01-01-02-01,42,73.39,171.67,130.896,5.94,8.69,7.339
DM-01-01-02-01,43,70.58,184.61,138.474,5.51,9.3,7.356
DM-01-01-02-01,44,93.82,197.93,155.051,6.06,9.75,7.913
DM-01-01-02-01,45,93.75,193.75,151.501,5.95,9.4,7.709
DM-01-01-02-01,46,83.39,190.86,145.26,5.67,9.09,7.309
DM-01-01-02-01,47,73.48,186.94,142.93,5.56,8.81,7.336
DM-01-01-02-01,48,68.53,181.78,140.884,5.45,8.61,7.189
DM-01-01-02-01,49,63.89,177.35,138.197,5.4,8.47,7.103
DM-01-01-02-01,50,33.19,176.71,136.441,5.22,8.45,7.02
DM-01-01-02-01,51,16.07,172.74,135.839,5.21,8.32,6.987
DM-01-01-02-01,52,3.85,175.15,133.777,5.19,8.2,6.969
DM-01-01-02-01,53,5.16,174.84,132.97,5.23,8.15,6.957
DM-01-01-02-01,54,3.65,172.69,131.399,5.25,8.19,6.96
DM-01-01-02-01,55,5.27,166.17,130.381,5.21,8.04,6.954
DM-01-01-02-01,56,4.05,177.77,128.693,5.15,8.08,6.911
DM-01-01-02-01,57,3.0,168.32,124.211,5.25,8.03,6.71
DM-01-01-02-01,58,3.91,167.36,109.211,4.18,8.06,6.181
DM-01-01-02-01,59,3.7,167.82,98.239,4.2,7.92,5.761
DM-01-01-02-01,60,4.11,170.31,93.344,4.14,7.83,5.601
DM-01-01-02-01,61,4.67,167.7,95.134,4.15,7.82,5.626
DM-01-01-02-01,62,4.2,174.16,97.657,4.18,7.82,5.621
DM-01-01-02-01,63,3.68,165.55,96.01,4.12,7.76,5.65
DM-01-01-02-01,64,3.04,141.98,98.161,4.28,6.98,5.83
DM-01-01-02-01,65,3.56,143.2,101.003,4.58,7.17,6.027
DM-01-01-02-01,66,4.07,144.64,103.274,4.28,7.39,6.183
DM-01-01-02-01,67,4.48,148.99,108.847,3.47,7.68,6.421
DM-01-01-02-01,68,4.61,149.43,114.624,3.27,7.99,6.699
DM-01-01-02-01,69,4.08,156.2,121.6,2.98,8.5,7.087
DM-01-01-02-01,70,3.51,156.24,126.571,2.98,8.76,7.466
DM-01-01-02-01,71,4.6,161.49,130.187,2.95,8.81,7.774
DM-01-01-02-01,72,2.85,164.97,131.689,2.99,8.98,7.907
DM-01-01-02-01,73,6.85,165.21,132.383,3.18,8.99,8.033
DM-01-01-02-01,74,5.67,167.09,135.869,3.19,9.04,8.101
DM-01-01-02-01,75,5.66,167.41,136.029,3.2,9.0,8.124
DM-01-01-02-01,76,3.92,163.85,135.991,3.31,9.09,8.137
DM-01-01-02-01,77,3.8,165.06,138.517,3.24,9.07,8.133
DM-01-01-02-01,78,5.07,167.26,137.34,3.28,9.08,8.139
DM-01-01-02-01,79,3.71,169.01,136.186,3.33,9.02,8.13
DM-01-01-02-01,80,4.84,166.55,137.651,3.34,9.05,8.097
DM-01-01-02-01,81,6.41,167.63,137.327,3.37,9.19,8.12
DM-01-01-02-01,82,6.66,170.03,134.806,3.41,9.08,8.194
DM-01-01-02-01,83,6.46,174.24,134.801,3.4,9.06,8.264
DM-01-01-02-01,84,5.12,167.02,134.349,3.42,9.02,8.243
DM-01-01-02-01,85,5.18,165.23,135.743,3.61,8.95,8.16
DM-01-01-02-01,86,6.67,163.66,133.874,3.94,8.92,8.087
DM-01-01-02-01,87,5.91,164.28,129.867,4.0,8.67,8.006
DM-01-01-02-01,88,6.19,161.18,124.939,4.21,8.49,7.477
DM-01-01-02-01,89,66.33,171.42,133.101,0.18,8.39,6.781
DM-01-01-02-01,90,65.47,157.65,113.387,1.78,7.92,6.63
DM-01-01-02-01,91,55.35,150.66,108.451,2.65,7.89,6.501
DM-01-01-02-01,92,32.13,152.11,108.193,1.98,7.7,6.161
DM-01-01-02-01,93,14.81,136.32,106.077,0.88,7.11,5.693
DM-01-01-02-01,94,20.92,118.63,57.62,1.95,5.95,4.174
DM-01-01-02-01,95,9.8,106.04,48.74,1.67,5.82,3.39
DM-01-01-02-02,0,9.43,34.9,30.723,1.4,5.24,4.263
DM-01-01-02-02,1,12.26,31.22,28.071,1.82,5.05,3.963
DM-01-01-02-02,2,10.92,31.42,28.217,1.69,5.05,3.859
DM-01-01-02-02,3,7.64,30.55,26.834,1.18,5.07,3.81
DM-01-01-02-02,4,5.61,30.13,25.863,0.83,5.1,3.787
DM-01-01-02-02,5,5.61,30.86,26.321,0.7,5.15,3.771
DM-01-01-02-02,6,5.55,30.97,25.836,0.7,5.16,3.747
DM-01-01-02-02,7,5.43,31.18,25.957,0.7,5.15,3.801
DM-01-01-02-02,8,5.44,31.58,25.739,0.7,5.15,3.806
DM-01-01-02-02,9,5.5,30.72,25.806,0.7,4.97,3.811
DM-01-01-02-02,10,5.33,31.61,26.997,0.7,4.37,3.819
DM-01-01-02-02,11,4.95,30.16,25.126,0.7,4.3,3.823
DM-01-01-02-02,12,4.83,28.43,24.331,0.71,4.3,3.824
DM-01-01-02-02,13,5.21,26.22,24.281,0.71,4.28,3.82
DM-01-01-02-02,14,5.19,29.91,25.389,0.71,4.26,3.817
DM-01-01-02-02,15,4.75,29.15,24.72,0.71,4.25,3.819
DM-01-01-02-02,16,4.79,27.16,24.851,0.71,4.23,3.851
DM-01-01-02-02,17,5.14,30.0,26.631,0.71,4.24,3.996
DM-01-01-02-02,18,5.42,33.73,28.37,0.71,4.74,4.313
DM-01-01-02-02,19,5.91,33.99,30.131,0.76,5.05,4.79
DM-01-01-02-02,20,6.23,34.92,33.127,0.83,5.51,5.324
DM-01-01-02-02,21,6.85,38.57,34.576,0.95,5.9,5.697
DM-01-01-02-02,22,7.35,40.4,36.12,1.06,6.16,6.0
DM-01-01-02-02,23,7.74,40.95,37.489,1.11,6.4,6.24
