dma_code,mnf_current,mnf_floor,mnf_baseline,n_days,last_date,n_meters,good_days_last_month,last_month
56-01-01,104.014,0.0,0.0,59,2026-09-05,1,5,2026-09
56-01-03,494.229,157.333,581.804,59,2026-09-05,2,5,2026-09
56-01-05,242.391,238.341,245.338,59,2026-09-05,1,5,2026-09
56-03-01,159.845,150.226,154.278,22,2026-09-02,2,0,2026-09
56-03-06,223.59,208.999,226.601,9,2026-09-02,3,0,2026-09
56-04-01,230.23,116.549,228.511,58,2026-09-05,1,5,2026-09
56-04-02,95.039,86.594,91.364,59,2026-09-05,1,5,2026-09
56-04-03,210.255,0.0,199.411,53,2026-09-05,1,5,2026-09
56-04-04,125.741,107.246,118.029,56,2026-09-05,2,5,2026-09
56-04-05,119.619,106.444,111.9,48,2026-09-05,2,5,2026-09
56-05-01,468.221,53.123,346.433,53,2026-09-05,3,5,2026-09
56-06-01,500.0,500.0,500.0,58,2026-09-05,1,5,2026-09
56-06-02,93.477,92.399,93.801,53,2026-09-05,1,5,2026-09
56-06-03,110.988,104.137,108.078,53,2026-09-05,1,5,2026-09
56-06-04,108.94,89.498,111.718,51,2026-09-05,1,5,2026-09
56-06-05,155.487,153.175,158.607,59,2026-09-05,1,5,2026-09
56-06-06,1.834,1.546,2.599,53,2026-09-05,1,5,2026-09
56-07-01,215.981,208.394,377.304,59,2026-09-05,1,5,2026-09
56-07-04,244.989,242.116,264.988,54,2026-09-05,2,5,2026-09
