dma_code,interval_idx,f_min,f_max,f_latest,p_min,p_max,p_latest
56-01-01,0,0.0,133.37,119.673,2.37,3.91,2.61
56-01-01,1,0.0,127.95,117.007,2.24,3.48,2.577
56-01-01,2,0.0,125.53,114.211,2.29,3.62,2.556
56-01-01,3,0.0,120.22,111.171,2.33,3.76,2.527
56-01-01,4,0.0,116.89,110.23,1.12,3.51,2.517
56-01-01,5,0.0,111.74,108.02,1.73,3.28,2.511
56-01-01,6,0.0,109.65,106.073,2.3,3.32,2.513
56-01-01,7,0.0,108.38,103.903,2.32,3.38,2.477
56-01-01,8,0.0,108.89,103.457,2.33,3.46,2.5
56-01-01,9,0.0,107.87,101.913,2.33,3.52,2.493
56-01-01,10,0.0,107.93,101.496,2.32,3.55,2.509
56-01-01,11,0.0,106.37,102.493,2.36,3.58,2.546
56-01-01,12,0.0,113.13,106.053,2.51,3.82,2.747
56-01-01,13,0.0,129.7,118.543,2.64,4.9,3.476
56-01-01,14,0.0,142.47,126.047,2.68,5.53,4.026
56-01-01,15,0.0,150.73,132.893,2.76,5.92,4.556
56-01-01,16,0.0,159.26,145.913,4.22,6.36,5.273
56-01-01,17,0.0,165.49,154.853,5.56,6.77,5.873
56-01-01,18,0.0,174.57,165.024,5.95,7.04,6.369
56-01-01,19,0.0,186.94,173.824,6.29,7.67,6.894
56-01-01,20,0.0,198.16,187.291,6.57,7.9,7.53
56-01-01,21,0.0,207.75,193.976,6.65,8.06,7.494
56-01-01,22,0.0,216.26,201.391,6.77,8.26,7.559
56-01-01,23,0.0,228.26,208.914,6.84,8.46,7.574
56-01-01,24,0.0,244.58,221.574,5.96,8.87,7.671
56-01-01,25,0.0,262.81,241.44,6.45,9.26,8.101
56-01-01,26,0.0,269.07,254.814,7.73,9.51,8.686
56-01-01,27,0.0,271.21,260.321,7.88,9.68,8.804
56-01-01,28,0.0,278.05,267.39,7.87,9.64,8.807
56-01-01,29,0.0,276.49,266.283,8.33,9.68,8.854
56-01-01,30,0.0,282.51,266.161,8.35,9.77,8.847
56-01-01,31,0.0,280.78,264.71,8.41,9.73,8.797
56-01-01,32,0.0,284.17,263.479,8.27,9.67,8.689
56-01-01,33,0.0,289.32,263.433,8.32,10.06,8.657
56-01-01,34,0.0,282.85,261.577,8.22,10.04,8.629
56-01-01,35,0.0,287.42,262.944,8.15,9.89,8.581
56-01-01,36,0.0,288.66,260.609,8.07,9.63,8.466
56-01-01,37,0.0,288.36,255.317,7.75,9.69,8.24
56-01-01,38,0.0,285.87,250.954,7.44,9.63,8.05
56-01-01,39,0.0,289.91,248.291,7.23,9.53,7.993
56-01-01,40,0.0,287.57,244.196,6.73,9.54,7.75
56-01-01,41,0.0,286.55,237.366,6.29,9.11,7.356
56-01-01,42,0.0,285.22,234.643,6.18,9.2,7.311
56-01-01,43,0.0,279.47,231.639,6.05,8.94,7.157
56-01-01,44,0.0,271.25,226.466,6.16,8.91,7.019
56-01-01,45,0.0,265.74,221.981,6.17,8.74,6.926
56-01-01,46,0.0,255.09,218.119,6.1,8.37,6.841
56-01-01,47,0.0,248.48,214.726,6.13,8.09,6.774
56-01-01,48,0.0,245.23,213.441,6.02,7.96,6.673
56-01-01,49,0.0,242.19,208.581,6.02,7.94,6.61
56-01-01,50,0.0,238.33,207.191,6.07,8.0,6.584
56-01-01,51,0.0,235.26,204.471,5.99,7.95,6.544
56-01-01,52,0.0,230.9,203.43,5.86,7.82,6.467
56-01-01,53,0.0,229.92,203.547,5.84,7.75,6.441
56-01-01,54,0.0,222.67,201.051,5.84,7.77,6.439
56-01-01,55,0.0,223.79,199.561,5.82,7.72,6.43
56-01-01,56,0.0,223.22,199.736,5.84,7.67,6.47
56-01-01,57,0.0,222.43,198.173,6.01,7.65,6.514
56-01-01,58,0.0,218.14,199.226,6.11,7.61,6.561
56-01-01,59,0.0,221.81,200.994,6.33,7.59,6.674
56-01-01,60,0.0,222.81,202.179,6.45,7.65,6.779
56-01-01,61,0.0,223.04,203.469,6.55,7.84,6.981
56-01-01,62,0.0,221.77,203.726,6.62,8.15,7.094
56-01-01,63,0.0,222.6,204.794,6.7,8.1,7.189
56-01-01,64,0.0,226.68,209.303,6.87,8.25,7.22
56-01-01,65,0.0,230.89,214.156,7.02,8.26,7.394
56-01-01,66,0.0,236.26,218.901,7.05,8.36,7.65
56-01-01,67,0.0,236.53,220.796,7.02,8.81,7.61
56-01-01,68,0.0,239.07,226.451,7.14,9.05,7.793
56-01-01,69,0.0,241.97,228.657,7.26,9.19,7.896
56-01-01,70,0.0,247.77,232.461,7.42,9.19,7.944
56-01-01,71,0.0,252.94,235.563,0.53,9.17,8.013
56-01-01,72,0.0,246.14,235.139,0.0,9.04,8.063
56-01-01,73,0.0,249.25,235.067,0.0,9.29,8.094
56-01-01,74,0.0,247.22,237.194,0.0,9.31,8.094
56-01-01,75,0.0,244.94,236.03,0.0,9.29,8.156
56-01-01,76,0.0,244.33,236.7,0.0,9.16,8.173
56-01-01,77,0.0,245.16,236.863,0.0,9.08,8.211
56-01-01,78,0.0,243.62,235.99,0.0,9.17,8.187
56-01-01,79,0.0,244.62,238.153,0.0,9.16,8.17
56-01-01,80,0.0,250.22,241.137,0.0,9.15,8.2
56-01-01,81,0.0,249.6,241.711,0.0,9.04,8.254
56-01-01,82,0.0,246.03,238.126,0.0,9.0,8.189
56-01-01,83,0.0,243.88,237.219,0.0,9.17,8.119
56-01-01,84,0.0,237.4,231.274,0.0,8.78,7.739
56-01-01,85,0.0,234.78,220.761,0.0,8.46,7.161
56-01-01,86,0.0,225.66,210.053,0.0,8.07,6.741
56-01-01,87,0.0,216.92,206.56,5.59,7.84,6.654
56-01-01,88,0.0,199.0,191.546,5.5,7.06,5.886
56-01-01,89,0.0,187.3,175.633,4.15,5.71,5.006
56-01-01,90,0.0,170.88,158.626,2.88,4.86,4.139
56-01-01,91,0.0,151.73,140.266,2.64,4.06,3.233
56-01-01,92,0.0,141.09,129.397,2.18,4.33,2.714
56-01-01,93,0.0,138.52,128.78,2.23,4.26,2.751
56-01-01,94,0.0,134.75,125.624,2.46,4.06,2.733
56-01-01,95,0.0,134.07,122.489,2.43,4.0,2.681
56-01-03,0,115.24,1069.08,559.494,3.385,5.5,4.093
56-01-03,1,113.95,1078.56,550.213,3.36,5.62,4.09
56-01-03,2,108.84,1089.86,546.14,3.485,5.745,4.086
56-01-03,3,106.31,1104.74,524.026,3.555,5.835,4.085
56-01-03,4,116.69,1117.7,495.231,3.665,5.875,4.079
56-01-03,5,107.08,1129.32,491.931,3.53,6.02,4.076
56-01-03,6,101.97,1137.43,500.471,3.485,6.14,4.049
56-01-03,7,97.07,1139.15,494.049,3.245,6.205,3.959
56-01-03,8,97.92,1138.16,484.031,3.175,6.22,3.955
56-01-03,9,99.51,1137.46,504.133,3.345,6.23,3.907
56-01-03,10,98.14,878.15,499.499,3.16,6.23,3.866
56-01-03,11,98.23,895.07,500.843,3.36,6.22,3.936
56-01-03,12,101.54,904.3,539.969,3.665,6.175,4.084
56-01-03,13,103.94,914.78,528.584,3.91,6.625,4.42
56-01-03,14,110.92,920.99,537.257,3.92,6.78,4.614
56-01-03,15,101.26,978.0,529.931,3.9,6.72,4.759
56-01-03,16,105.36,996.36,612.201,3.83,6.7,5.045
56-01-03,17,110.55,997.12,548.159,3.72,6.855,5.377
56-01-03,18,118.87,997.04,550.256,3.64,6.89,5.854
56-01-03,19,126.65,999.7,559.303,3.53,7.055,6.271
56-01-03,20,146.26,1017.4,568.05,3.305,7.055,6.683
56-01-03,21,148.82,1029.96,578.647,3.245,7.105,6.587
56-01-03,22,154.69,1035.36,581.853,3.19,7.2,6.608
56-01-03,23,155.79,1069.59,529.197,3.11,7.22,6.502
56-01-03,24,157.18,1097.85,543.719,3.105,7.28,6.403
56-01-03,25,148.19,1117.74,567.733,2.945,7.28,6.578
56-01-03,26,149.19,1118.22,598.83,3.13,7.25,6.857
56-01-03,27,144.6,1112.86,605.344,3.125,7.13,6.901
56-01-03,28,142.42,1108.7,607.619,3.15,7.07,6.894
56-01-03,29,139.68,1098.52,595.281,3.165,7.055,6.899
56-01-03,30,145.35,1105.1,588.079,3.165,7.255,6.932
56-01-03,31,140.86,1099.09,608.984,3.145,7.13,6.92
56-01-03,32,140.65,1098.41,632.577,3.135,6.985,6.833
56-01-03,33,137.52,1099.13,633.543,3.14,7.0,6.81
56-01-03,34,136.61,1091.3,629.624,3.14,7.005,6.82
56-01-03,35,137.47,1091.87,621.473,3.13,6.99,6.81
56-01-03,36,136.75,1088.65,630.397,3.13,6.98,6.705
56-01-03,37,135.72,1091.13,621.876,3.15,7.095,6.53
56-01-03,38,139.86,1087.28,605.57,3.185,7.22,6.391
56-01-03,39,142.77,1088.51,612.986,3.23,7.08,6.365
56-01-03,40,142.12,1087.5,611.1,3.22,6.945,6.15
56-01-03,41,141.32,1088.48,614.339,3.285,7.06,5.88
56-01-03,42,141.56,1095.14,591.88,3.305,7.09,5.804
56-01-03,43,140.87,1094.58,589.991,3.33,7.0,5.716
56-01-03,44,145.07,1094.84,589.467,3.395,6.685,5.611
56-01-03,45,147.22,1098.84,574.006,3.475,6.665,5.521
56-01-03,46,145.22,1105.38,570.18,3.48,6.675,5.476
56-01-03,47,148.42,1102.5,588.033,3.5,6.8,5.443
56-01-03,48,149.68,1104.74,597.997,3.505,6.88,5.409
56-01-03,49,151.7,1106.43,594.709,3.53,7.005,5.387
56-01-03,50,152.07,1117.88,592.007,3.555,7.025,5.359
56-01-03,51,147.24,1120.69,591.666,3.635,7.04,5.332
56-01-03,52,143.56,1134.6,590.731,3.76,6.92,5.316
56-01-03,53,144.17,1138.84,587.501,3.77,6.935,5.32
56-01-03,54,144.83,1135.4,586.241,3.76,6.995,5.311
56-01-03,55,145.04,1124.43,585.926,3.765,6.985,5.301
56-01-03,56,144.57,1123.3,585.011,3.795,6.875,5.326
56-01-03,57,144.81,1118.93,580.666,3.8,6.895,5.378
56-01-03,58,146.57,1114.86,557.159,3.78,6.93,5.427
56-01-03,59,151.32,1113.84,552.54,3.78,6.945,5.517
56-01-03,60,147.47,1127.53,554.236,3.79,6.925,5.603
