rtu_id,dma_name,user_type,pipe_material,favad_n1,mnf_start,mnf_end,cusum_k_factor,cusum_h_factor,burst_intervals,q_std_mult,p_drop_bar,is_active,hard_flow_threshold
DM-13-02-05-01,DM-13-02-05-01,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,3,8,1.5,0.15,True,5000
DM-13-02-05-03,DM-13-02-05-03,RESIDENTIAL,PVC,1.15,04:45,06:45,0.5,3,8,1.5,0.15,True,5000
DM-01-01-01-01,DM-01-01-01-01,RESIDENTIAL,PVC,1.15,01:00,03:00,0.5,4,8,2.0,0.25,True,5000
DM-01-01-02-01,DM-01-01-02-01,RESIDENTIAL,PVC,1.15,03:15,05:15,0.5,4,8,2.0,0.25,True,5000
DM-01-01-02-02,DM-01-01-02-02,RESIDENTIAL,PVC,1.15,01:30,03:30,0.5,4,8,2.0,0.25,True,5000
DM-01-01-03-01,DM-01-01-03-01,RESIDENTIAL,PVC,1.15,20:45,22:45,0.5,4,8,2.0,0.25,True,5000
DM-01-01-03-02,DM-01-01-03-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-01-03-03,DM-01-01-03-03,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-01-04-01,DM-01-01-04-01,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-01-05-01,DM-01-01-05-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-01-05-02,DM-01-01-05-02,RESIDENTIAL,PVC,1.15,02:45,04:45,0.5,4,8,2.0,0.25,True,5000
DM-01-01-06-01,DM-01-01-06-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-01-06-02,DM-01-01-06-02,RESIDENTIAL,PVC,1.15,00:30,02:30,0.5,4,8,2.0,0.25,True,5000
DM-01-02-01-01,DM-01-02-01-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-02-01-02,DM-01-02-01-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-02-02-01,DM-01-02-02-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-01-02-02-02,DM-01-02-02-02,RESIDENTIAL,PVC,1.15,01:30,03:30,0.5,4,8,2.0,0.25,True,5000
DM-01-02-03-02,DM-01-02-03-02,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-01-02-04-02,DM-01-02-04-02,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-01-02-04-03,DM-01-02-04-03,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-01-02-05-01,DM-01-02-05-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-03-01-01,DM-01-03-01-01,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-03-02-01,DM-01-03-02-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-01-03-03-01,DM-01-03-03-01,RESIDENTIAL,PVC,1.15,00:45,02:45,0.5,4,8,2.0,0.25,True,5000
DM-01-03-04-01,DM-01-03-04-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-03-05-01,DM-01-03-05-01,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-03-05-02,DM-01-03-05-02,RESIDENTIAL,PVC,1.15,07:15,09:15,0.5,4,8,2.0,0.25,True,5000
DM-01-03-06-01,DM-01-03-06-01,RESIDENTIAL,PVC,1.15,00:15,02:15,0.5,4,8,2.0,0.25,True,5000
DM-01-03-06-02,DM-01-03-06-02,RESIDENTIAL,PVC,1.15,00:15,02:15,0.5,4,8,2.0,0.25,True,5000
DM-01-03-06-03,DM-01-03-06-03,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-04-01-01,DM-01-04-01-01,RESIDENTIAL,PVC,1.15,00:15,02:15,0.5,4,8,2.0,0.25,True,5000
DM-01-04-01-02,DM-01-04-01-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-04-02-01,DM-01-04-02-01,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-04-03-01,DM-01-04-03-01,RESIDENTIAL,PVC,1.15,03:00,05:00,0.5,4,8,2.0,0.25,True,5000
DM-01-04-03-02,DM-01-04-03-02,RESIDENTIAL,PVC,1.15,02:30,04:30,0.5,4,8,2.0,0.25,True,5000
DM-01-04-03-03,DM-01-04-03-03,RESIDENTIAL,PVC,1.15,03:00,05:00,0.5,4,8,2.0,0.25,True,5000
DM-01-04-04-01,DM-01-04-04-01,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-04-04-02,DM-01-04-04-02,RESIDENTIAL,PVC,1.15,04:15,06:15,0.5,4,8,2.0,0.25,True,5000
DM-01-04-05-01,DM-01-04-05-01,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-04-05-02,DM-01-04-05-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-04-06-01,DM-01-04-06-01,RESIDENTIAL,PVC,1.15,03:00,05:00,0.5,4,8,2.0,0.25,True,5000
DM-01-04-06-02,DM-01-04-06-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-04-07-01,DM-01-04-07-01,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-05-01-01,DM-01-05-01-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-05-01-02,DM-01-05-01-02,RESIDENTIAL,PVC,1.15,00:15,02:15,0.5,4,8,2.0,0.25,True,5000
DM-01-05-02-01,DM-01-05-02-01,RESIDENTIAL,PVC,1.15,01:15,03:15,0.5,4,8,2.0,0.25,True,5000
DM-01-05-03-01,DM-01-05-03-01,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-01-05-03-02,DM-01-05-03-02,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-01-05-04-01,DM-01-05-04-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-05-04-02,DM-01-05-04-02,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-05-04-03,DM-01-05-04-03,RESIDENTIAL,PVC,1.15,01:15,03:15,0.5,4,8,2.0,0.25,True,5000
DM-01-06-01-01,DM-01-06-01-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-01-06-01-02,DM-01-06-01-02,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-01-06-02-01,DM-01-06-02-01,RESIDENTIAL,PVC,1.15,06:45,08:45,0.5,4,8,2.0,0.25,True,5000
DM-01-06-02-02,DM-01-06-02-02,RESIDENTIAL,PVC,1.15,00:15,02:15,0.5,4,8,2.0,0.25,True,5000
DM-01-06-02-04,DM-01-06-02-04,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-06-02-05,DM-01-06-02-05,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-06-03-01,DM-01-06-03-01,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-06-03-02,DM-01-06-03-02,RESIDENTIAL,PVC,1.15,01:30,03:30,0.5,4,8,2.0,0.25,True,5000
DM-01-06-04-01,DM-01-06-04-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-06-04-02,DM-01-06-04-02,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-06-05-01,DM-01-06-05-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-06-05-02,DM-01-06-05-02,RESIDENTIAL,PVC,1.15,13:45,15:45,0.5,4,8,2.0,0.25,True,5000
DM-01-06-05-03,DM-01-06-05-03,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-06-05-04,DM-01-06-05-04,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-06-05-05,DM-01-06-05-05,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-01-06-05-06,DM-01-06-05-06,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-06-05-07,DM-01-06-05-07,RESIDENTIAL,PVC,1.15,02:45,04:45,0.5,4,8,2.0,0.25,True,5000
DM-01-07-01-01,DM-01-07-01-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-07-01-02,DM-01-07-01-02,RESIDENTIAL,PVC,1.15,00:15,02:15,0.5,4,8,2.0,0.25,True,5000
DM-01-07-02-01,DM-01-07-02-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-07-02-02,DM-01-07-02-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-07-02-03,DM-01-07-02-03,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-07-03-01,DM-01-07-03-01,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-01-07-03-02,DM-01-07-03-02,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-01-07-03-03,DM-01-07-03-03,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-01-07-03-04,DM-01-07-03-04,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-01-07-04-01,DM-01-07-04-01,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-01-07-04-02,DM-01-07-04-02,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-01-07-04-03,DM-01-07-04-03,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-07-05-01,DM-01-07-05-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-07-06-01,DM-01-07-06-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-07-06-02,DM-01-07-06-02,RESIDENTIAL,PVC,1.15,01:30,03:30,0.5,4,8,2.0,0.25,True,5000
DM-01-07-06-03,DM-01-07-06-03,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-01-08-01-01,DM-01-08-01-01,RESIDENTIAL,PVC,1.15,12:00,14:00,0.5,4,8,2.0,0.25,True,5000
DM-01-08-01-02,DM-01-08-01-02,RESIDENTIAL,PVC,1.15,00:45,02:45,0.5,4,8,2.0,0.25,True,5000
DM-01-08-01-03,DM-01-08-01-03,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-01-08-02-01,DM-01-08-02-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-01-08-02-02,DM-01-08-02-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-08-03-01,DM-01-08-03-01,RESIDENTIAL,PVC,1.15,06:30,08:30,0.5,4,8,2.0,0.25,True,5000
DM-01-08-04-01,DM-01-08-04-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-01-08-04-02,DM-01-08-04-02,RESIDENTIAL,PVC,1.15,02:45,04:45,0.5,4,8,2.0,0.25,True,5000
DM-01-08-04-03,DM-01-08-04-03,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-01-09-01-01,DM-01-09-01-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-09-02-01,DM-01-09-02-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-09-02-02,DM-01-09-02-02,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-09-03-01,DM-01-09-03-01,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-01-09-04-01,DM-01-09-04-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-09-05-01,DM-01-09-05-01,RESIDENTIAL,PVC,1.15,00:45,02:45,0.5,4,8,2.0,0.25,True,5000
DM-01-09-06-01,DM-01-09-06-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-09-07-01,DM-01-09-07-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-09-08-01,DM-01-09-08-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-01-09-09-01,DM-01-09-09-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-01-09-10-01,DM-01-09-10-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-01-01-01,DM-02-01-01-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-01-01-02,DM-02-01-01-02,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-01-02-01,DM-02-01-02-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-01-02-02,DM-02-01-02-02,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-01-03-01,DM-02-01-03-01,RESIDENTIAL,PVC,1.15,12:30,14:30,0.5,4,8,2.0,0.25,True,5000
DM-02-01-03-02,DM-02-01-03-02,RESIDENTIAL,PVC,1.15,01:00,03:00,0.5,4,8,2.0,0.25,True,5000
DM-02-01-03-03,DM-02-01-03-03,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-02-01-04-01,DM-02-01-04-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-01-04-02,DM-02-01-04-02,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-02-01-04-03,DM-02-01-04-03,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-01-04-05,DM-02-01-04-05,RESIDENTIAL,PVC,1.15,00:15,02:15,0.5,4,8,2.0,0.25,True,5000
DM-02-01-07-01,DM-02-01-07-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-02-01-01,DM-02-02-01-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-01-02,DM-02-02-01-02,RESIDENTIAL,PVC,1.15,03:15,05:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-02-01,DM-02-02-02-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-03-01,DM-02-02-03-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-04-01,DM-02-02-04-01,RESIDENTIAL,PVC,1.15,00:15,02:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-04-02,DM-02-02-04-02,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-05-01,DM-02-02-05-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-05-02,DM-02-02-05-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-02-06-01,DM-02-02-06-01,RESIDENTIAL,PVC,1.15,00:15,02:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-06-02,DM-02-02-06-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-02-06-03,DM-02-02-06-03,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-07-01,DM-02-02-07-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-02-07-03,DM-02-02-07-03,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-02-08-01,DM-02-02-08-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-03-01-01,DM-02-03-01-01,RESIDENTIAL,PVC,1.15,00:30,02:30,0.5,4,8,2.0,0.25,True,5000
DM-02-03-02-01,DM-02-03-02-01,RESIDENTIAL,PVC,1.15,00:15,02:15,0.5,4,8,2.0,0.25,True,5000
DM-02-03-02-02,DM-02-03-02-02,RESIDENTIAL,PVC,1.15,01:00,03:00,0.5,4,8,2.0,0.25,True,5000
DM-02-03-03-01,DM-02-03-03-01,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-02-03-03-02,DM-02-03-03-02,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
