rtu_id,reason
DM-01-01-03-01,False Data
DM-01-01-03-02,False Data
DM-01-01-03-03,False Data
DM-01-01-04-01,False Data
DM-01-01-06-02,False Data
DM-01-02-01-02,False Data
DM-01-02-04-03,False Data
DM-01-03-01-01,False Data
DM-01-04-01-02,False Data
DM-01-04-03-01,False Data
DM-01-04-04-01,False Data
DM-01-04-05-01,False Data
DM-01-04-06-02,False Data
DM-01-05-03-01,False Data
DM-01-05-04-03,False Data
DM-01-06-01-01,False Data
DM-01-06-01-02,False Data
DM-01-06-02-01,False Data
DM-01-06-02-04,False Data
DM-01-06-02-05,False Data
DM-01-06-03-02,False Data
DM-01-06-05-02,False Data
DM-01-06-05-03,False Data
DM-01-06-05-04,False Data
DM-01-07-01-02,False Data
DM-01-07-02-02,False Data
DM-01-07-04-02,False Data
DM-01-07-06-03,False Data
DM-01-08-02-01,False Data
DM-01-08-02-02,False Data
DM-01-09-08-01,False Data
DM-01-09-10-01,False Data
DM-02-01-02-01,False Data
DM-02-01-02-02,False Data
DM-02-01-03-01,False Data
DM-02-01-03-02,False Data
DM-02-01-03-03,False Data
DM-02-01-04-02,False Data
DM-02-01-04-03,False Data
DM-02-01-04-05,False Data
DM-02-02-02-01,False Data
DM-02-02-04-02,False Data
DM-02-02-06-03,False Data
DM-02-02-07-01,False Data
DM-02-03-06-02,False Data
DM-02-04-06-01,False Data
DM-02-08-01-02,False Data
DM-02-08-02-02,False Data
DM-02-08-04-02,False Data
DM-02-08-04-03,False Data
DM-02-12-01-04,False Data
DM-02-13-02-01,False Data
DM-02-13-04-01,False Data
DM-02-14-03-01,False Data
DM-02-14-05-03,False Data
DM-02-14-07-01,False Data
DM-02-14-07-04,False Data
DM-02-14-09-01,False Data
DM-02-15-04-02,False Data
DM-02-15-05-01,False Data
DM-02-15-05-02,False Data
DM-02-16-04-02,False Data
DM-02-16-06-01,False Data
DM-02-16-07-02,False Data
DM-02-16-08-02,False Data
DM-03-01-01-02,False Data
DM-03-01-05-03,False Data
DM-03-02-04-01,False Data
DM-03-03-02-02,False Data
DM-03-03-04-01,False Data
DM-03-03-06-02,False Data
DM-03-03-08-01,False Data
DM-03-03-09-01,False Data
DM-03-03-11-01,False Data
DM-03-03-11-02,False Data
DM-03-04-03-01,False Data
DM-03-04-04-01,False Data
DM-03-04-08-01,False Data
DM-03-05-06-01,False Data
DM-03-05-06-02,False Data
DM-03-05-09-01,False Data
DM-03-06-05-01,False Data
DM-03-10-10-01,False Data
DM-03-10-10-02,False Data
DM-03-10-10-03,False Data
DM-03-10-10-04,False Data
DM-03-10-10-05,False Data
DM-03-10-10-06,False Data
DM-04-03-03-01,False Data
DM-04-03-06-01,False Data
DM-04-03-07-01,False Data
DM-04-03-08-01,False Data
DM-04-05-04-01,False Data
DM-04-05-06-01,False Data
DM-04-06-02-01,False Data
DM-04-06-04-01,False Data
DM-04-06-06-01,False Data
DM-04-06-07-01,False Data
DM-04-06-10-01,False Data
DM-04-06-11-01,False Data
DM-04-08-04-02,False Data
DM-04-09-01-01,False Data
DM-04-09-03-01,False Data
DM-04-09-04-01,False Data
DM-04-09-07-01,False Data
DM-04-09-08-01,False Data
DM-04-09-09-01,False Data
DM-04-09-13-01,False Data
DM-04-09-15-01,False Data
DM-05-01-03-01,False Data
DM-05-01-04-02,False Data
DM-05-01-07-01,False Data
DM-05-01-08-01,False Data
DM-05-01-08-02,False Data
DM-05-01-09-01,False Data
DM-05-01-09-02,False Data
DM-05-02-02-02,False Data
DM-05-02-06-01,False Data
DM-05-03-01-01,False Data
DM-05-03-02-01,False Data
DM-05-03-02-02,False Data
DM-05-03-04-01,False Data
DM-05-03-04-03,False Data
DM-05-04-03-02,False Data
DM-05-04-04-01,False Data
DM-05-04-05-01,False Data
DM-05-04-06-01,False Data
DM-05-04-10-01,False Data
DM-05-04-10-02,False Data
DM-05-05-02-01,False Data
DM-05-05-02-03,False Data
DM-05-05-04-01,False Data
DM-05-05-04-02,False Data
DM-05-05-05-01,False Data
DM-05-05-06-01,False Data
DM-05-05-12-01,False Data
DM-05-05-12-03,False Data
DM-05-05-14-02,False Data
DM-06-01-03-03,False Data
DM-06-01-04-01,False Data
DM-06-02-01-02,False Data
DM-06-02-03-02,False Data
DM-06-02-04-01,False Data
DM-06-02-06-01,False Data
DM-06-02-06-02,False Data
DM-06-02-07-01,False Data
DM-06-03-08-01,False Data
DM-06-04-01-01,False Data
DM-06-04-03-01,False Data
DM-06-04-03-02,False Data
DM-06-04-04-03,False Data
DM-06-04-05-04,False Data
DM-06-04-06-03,False Data
DM-06-04-06-04,False Data
DM-06-05-01-03,False Data
DM-06-05-03-01,False Data
DM-06-05-07-01,False Data
DM-06-05-08-01,False Data
DM-06-06-01-01,False Data
DM-06-06-02-01,False Data
DM-06-06-02-02,False Data
DM-06-06-03-02,False Data
DM-06-06-05-03,False Data
DM-07-01-03-01,False Data
DM-07-01-04-03,False Data
DM-07-01-08-01,False Data
DM-07-01-09-04,False Data
DM-07-01-09-05,False Data
DM-07-04-06-02,False Data
DM-07-04-13-01,False Data
